PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
-0.8769898,1.662889,0.1466511,0.001118793,0.5759592,-0.01668661,0.8173074
-0.8768978,1.6628,0.145838,0.001391816,0.5774093,-0.01647181,0.8162875
-0.8765814,1.662807,0.1451802,0.001847259,0.5787783,-0.01601077,0.8153257
-0.8763037,1.66289,0.1446217,0.002341715,0.580274,-0.01543212,0.8142717
-0.8758707,1.662796,0.1441526,0.002814244,0.5816635,-0.01508964,0.8132848
-0.875716,1.662503,0.1435306,0.00378024,0.5833943,-0.0145612,0.8120497
-0.8749505,1.662381,0.1430153,0.004708814,0.5852287,-0.01403012,0.8107333
-0.874843,1.66237,0.1426116,0.005485699,0.5867572,-0.0136252,0.8096297
-0.8741721,1.662301,0.1423452,0.00687723,0.5883866,-0.01252991,0.8084534
-0.8736115,1.662171,0.1419315,0.008303923,0.5915253,-0.01117093,0.8061663
-0.8731747,1.662205,0.1414821,0.009130419,0.5931256,-0.01021277,0.8049933
-0.872686,1.662054,0.1412416,0.01005581,0.5946811,-0.009334988,0.8038445
-0.8722044,1.661886,0.1410192,0.0109948,0.5962844,-0.009031142,0.8026472
-0.8721561,1.661759,0.1406343,0.0119769,0.5979608,-0.008314682,0.8013927
-0.8712873,1.661767,0.1403362,0.01266711,0.5993855,-0.007689461,0.8003233
-0.8704635,1.661684,0.1403602,0.01339412,0.6009545,-0.006535608,0.7991443
-0.8701428,1.661612,0.1403277,0.01417935,0.6024197,-0.006095576,0.7980303
-0.8696189,1.661661,0.140294,0.01477732,0.6040699,-0.005286505,0.7967768
-0.8691051,1.661485,0.1398978,0.01554804,0.6053556,-0.004700896,0.7957894
-0.8685782,1.661537,0.139838,0.01613269,0.6067675,-0.004263733,0.7947042
-0.8678546,1.66154,0.1396754,0.01691214,0.6080704,-0.003816528,0.7936938
-0.8666011,1.661436,0.1385618,0.01788007,0.611321,-0.003144347,0.7911745
-0.8666011,1.661436,0.1385618,0.01788007,0.611321,-0.003144347,0.7911745
-0.8659773,1.661193,0.1383719,0.01799626,0.6124945,-0.002611706,0.7902657
-0.8652891,1.661219,0.1380944,0.01788778,0.6132914,-0.003095391,0.7896481
-0.864724,1.661196,0.1375341,0.01818571,0.6143152,-0.00332011,0.7888442
-0.8638641,1.661154,0.1369056,0.01758363,0.6151602,-0.004286389,0.7881944
-0.8630335,1.661068,0.1365195,0.01777234,0.6159109,-0.004213194,0.7876041
-0.8621615,1.661124,0.1358702,0.01798395,0.6169323,-0.00449096,0.7867979
-0.8610674,1.660967,0.1346777,0.01755002,0.6183358,-0.005065918,0.7857018
-0.8610674,1.660967,0.1346777,0.01755002,0.6183358,-0.005065918,0.7857018
-0.8599255,1.660696,0.1334004,0.01704772,0.6196062,-0.006371673,0.7847018
-0.8595588,1.660541,0.1326817,0.01682435,0.6207325,-0.006849276,0.783812
-0.8593386,1.660648,0.1319713,0.01670625,0.6216146,-0.00693978,0.7831144
-0.8593346,1.660942,0.1310248,0.01619871,0.6227862,-0.006923389,0.7821938
-0.8593427,1.660949,0.130044,0.01573027,0.6237932,-0.007345043,0.7813966
-0.8592861,1.660899,0.1288259,0.01490358,0.6250944,-0.00775891,0.7803683
-0.8590651,1.660964,0.1274655,0.01463915,0.6265032,-0.008003057,0.7792403
-0.8584341,1.660681,0.1246312,0.01393341,0.6300825,-0.008989797,0.7763512
-0.8582916,1.660619,0.1233899,0.01377476,0.6313914,-0.009239118,0.7752869
-0.8578476,1.660605,0.1217212,0.01358838,0.6331487,-0.009995428,0.7738464
-0.8574288,1.660526,0.1201818,0.01337673,0.6350486,-0.01054885,0.7722843
-0.8572993,1.660418,0.1183917,0.01308788,0.6371028,-0.01081046,0.770592
